"Your order # is: %s","Su numero de Orden # es: %s"
"Message # is: %s","La respuesta # es: %s"
"Debug","Debug"
"Email customer","Email customer"
"Enabled","Enabled"
"Error in authorizing the payment","Error in authorizing the payment"
"Error in payment gateway","Error in payment gateway"
"Error in refunding the payment","Error in refunding the payment"
"Error in refunding the payment.","Error in refunding the payment."
"Error in retrieving the transaction","Error in retrieving the transaction"
"Fraud order status","Fraud order status"
"Gateway request error: %s","Gateway request error: %s"
"Invalid amount for authorization","Invalid amount for authorization"
"Invalid amount for authorization.","Invalid amount for authorization."
"Invalid transaction id","Invalid transaction id"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Merchant Login"
"Merchant's email","Merchant's email"
"Minimum Order Total","Minimum Order Total"
"New order status","New order status"
"Partner","Partner"
"Password","Password"
"Payflow Pro","Payflow Pro"
"Payment Action","Payment Action"
"Payment authorization error.","Payment authorization error."
"Payment authorization transaction has been declined.","Payment authorization transaction has been declined."
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"You will be redirected to Gateway Payco.co in a few seconds.","va a ser redireccionado a Payco.co en pocos minutos."
"you will be redirected to Payco.co website.","se le dirige al sitio web Payco.co."
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Sort order"
"TENDER","TENDER"
"Test mode","Test mode"
"Title","Title"
"Transaction key","Transaction key"
"URL","URL"
"Use Proxy","Use Proxy"
"User","User"
"VERBOSITY","VERBOSITY"
"Voided transaction","Voided transaction"
"Click %s","Click %s"
"here to print","aqui para imprimir"
"a copy of your order confirmation.","una copia de la confirmacion de la orden" 
